file_name,ad_number,file_instance_id,sha256,record_status,human_reviewer,updated_at
"2012-0175R2__08a8fc0e2bbbc711.annotation.json","2012-0175R2","08a8fc0e2bbbc711","05a66662c392a7c25b15a7bee723b7d7a176300b09f4b60da0de64ba756957ae","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2012-0259__71d534e47740b13c.annotation.json","2012-0259","71d534e47740b13c","b8eead062a46b6b66d26a57178fbf4bfff87048d21e6c1ffc7da02576235fcd9","approved","gpt-5.6-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2013-0011__5f652dd0aa52e54f.annotation.json","2013-0011","5f652dd0aa52e54f","542c51ffb996f74e5b490aabc7de2cb4a8bd27d2f8a8fb2aee5a780ab977d389","approved","gpt-5.6-source-auditor|codex-batch2-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2013-0234R2__9a197fbc37092cfe.annotation.json","2013-0234R2","9a197fbc37092cfe","b049ff378db1a61f8937ce0cca45835cc3edb700bb3c5d5b51116b2016da4ce7","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2014-0062__58916308a3527d59.annotation.json","2014-0062","58916308a3527d59","5af90b27301cab1a0cc82f8aa0cffedab87b73ac9a046eb4adbb1dad04d04f84","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2015-0135R3__ffb267d0dfbcbbd9.annotation.json","2015-0135R3","ffb267d0dfbcbbd9","bdc7e915bb9576803de2170507f2637c45e14fb65d6d66f281bf002c3a987473","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2016-0095__7f221fbcf3eea6a5.annotation.json","2016-0095","7f221fbcf3eea6a5","805cbd3c756ee7dce72bb7ce063e9e6e0ba409b7b4a82507a59f2f81a5da0319","approved","codex-a2|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2016-0175__c13a622de38db424.annotation.json","2016-0175","c13a622de38db424","69b18c2e504f0935fd13cbe5218de660450ca0eff6ffba84744fb192b02ddbe1","approved","gpt-5.6-source-auditor|codex-batch2-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2017-0013__67c94127f7b8e53d.annotation.json","2017-0013","67c94127f7b8e53d","481d3d06ae43bc2505d60262623fc8742e113293cc80f85825c8fb88fb45b9c1","approved","codex-a1|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2018-0108__75144c1f05797c10.annotation.json","2018-0108","75144c1f05797c10","b1cd460b3897129d1023de050e90857b2c24c085d2006eb995f65426ce2cf4a4","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2018-0246__0ffbff521ab9746f.annotation.json","2018-0246","0ffbff521ab9746f","1174d9083a2f3b2a4bf87cf6d8f64b574917a05348e73a6499e55808e65d9b09","approved","gpt-5.6-source-auditor|codex-batch2-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2019-0011R2__1949a5e809ac47e1.annotation.json","2019-0011R2","1949a5e809ac47e1","20dca3e4cdaa442be98a721ee089b14d9bb81b770e2ecee8eb53d472ce45a84f","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2019-0183__5577514a19f6917c.annotation.json","2019-0183","5577514a19f6917c","9ee65403614c3e33d39f3f682aabd8a99501402b43e585a3e12943c606b5e755","approved","codex-a3|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2019-0188__1d1f6357de0f3352.annotation.json","2019-0188","1d1f6357de0f3352","f6ca789490c27b7ebfffa8999b2efd13f30d12d4a7b5e02245e02e7fc8448873","approved","gpt-5.6-source-auditor|codex-batch3-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2020-0016__5c6e21ab23447af0.annotation.json","2020-0016","5c6e21ab23447af0","ef8ab518105ecc25669ba322c60a3b7298974133c95b58c48afade453245cf62","approved","gpt-5.6-source-auditor|codex-batch3-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2020-0028__734af537e02af649.annotation.json","2020-0028","734af537e02af649","edd99924d9f68de8025c8dffeae3312ba6d9052ec012e7af36ab487c184fc595","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2020-0085R1__5ced2074d6402f32.annotation.json","2020-0085R1","5ced2074d6402f32","0dae55de0e30cbcd5bf8c9b70d48cbbb13774c1da4de5115ca823abad6b8c877","approved","codex-a3|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2021-0087__9e367bf311641409.annotation.json","2021-0087","9e367bf311641409","90ebeaacf62d68efa18b2fc2df335cd05e37277bf82b1ab5eb69c83d3018ce84","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2021-0221__8aaaf372db377584.annotation.json","2021-0221","8aaaf372db377584","17d6702068b99fa8a1a1be8591aff07139549bde73456b09c92b829ff20186a5","approved","gpt-5.6-source-auditor|codex-batch3-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2021-0242__3d05d4995d986ef5.annotation.json","2021-0242","3d05d4995d986ef5","b67fd682f5597cf339a0b126866ead2fcb3b9efdf7fa9d9539bcc51643d8858a","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2021-0286__a36d7f18af6e7a27.annotation.json","2021-0286","a36d7f18af6e7a27","fdf4be09770e36ecf8a09fc73d124e3689db69f4a6b0ff556506be84bda3bcb9","approved","gpt-5.6-source-auditor|codex-batch3-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2022-0026__2003cabcfcd8976a.annotation.json","2022-0026","2003cabcfcd8976a","be1c85f7e9cedb964d9b86c86e3970ac6c1335e30423087a8acb878dcdc9e5d9","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2022-0058__772cd84a0961a452.annotation.json","2022-0058","772cd84a0961a452","a651307bdf9e4ac1ae94fa1347affa6b4bb0aa900fca427f40ba9907e9ee2ba0","approved","gpt-5.6-source-auditor|codex-batch3-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2022-0197__2f70e87899358165.annotation.json","2022-0197","2f70e87899358165","eec4e197fc67576fae6d104ef4e94f17a45d5047ac4d6f443de7afad197456ef","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2023-0057__e17febf10e432eb9.annotation.json","2023-0057","e17febf10e432eb9","9cd22659ddd99f6e78f4a9d652c14cb4907aebe9122a7e917b9333a58dc2a82a","approved","gpt-5.6-source-auditor|codex-batch4-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2023-0093R1__f8c89a351f146b17.annotation.json","2023-0093R1","f8c89a351f146b17","241168a48e388e5afe0af6481bba2251a57f3c18e47fcb52afcced9d4e1bea1c","approved","codex-a2|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2024-0001__dc59a5a0114b782d.annotation.json","2024-0001","dc59a5a0114b782d","54900d80b58e0444d290d44395ca2081c7ebb605ca8fb52b761fa76ff46115bb","approved","gpt-5.6-source-auditor|codex-batch4-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2024-0038__db594c767fc8f98e.annotation.json","2024-0038","db594c767fc8f98e","0e4b4a3894958a05f6c31ff6426601a06ec5e4aa04a0bc437644609e791d3aec","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2024-0095__53e4fefd2d273164.annotation.json","2024-0095","53e4fefd2d273164","f5164cfb6f0939b84aca0076bb0ea08ac006d51fa998b9eeeacb45ca2c3e7a4c","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2025-0008__b829efee031a2fcf.annotation.json","2025-0008","b829efee031a2fcf","9c9d0fba4e90e27c98b5286777d514dd8a28fc61f9b4987f453f7b2c394090b8","approved","codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2025-0068__6e80e67e640ba6d1.annotation.json","2025-0068","6e80e67e640ba6d1","12828b88cef3f67d929883e00a41e3f824cb7e8c7fe44824abcde81fbac3e9ba","approved","codex-a3|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2025-0138__5762b029d7edbc0c.annotation.json","2025-0138","5762b029d7edbc0c","2261b3ad0d6ad9ac9da09a69def3446aa531d176687b9a1d4b3106e53e625ff3","approved","gpt-5.6-source-auditor|codex-batch4-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2025-0181__b0e89b78cd668c9e.annotation.json","2025-0181","b0e89b78cd668c9e","2892da60d617321536362bc41235f0ae7a11c4a89cd548e403b19b3cd889990f","approved","gpt-5.6-source-auditor|codex-batch4-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
"2026-0017__1f3af1a66dad0ea4.annotation.json","2026-0017","1f3af1a66dad0ea4","3a26150eb3360aaf4f1ad7d42c361caf45e31e544f958a4a894e0d263635700b","approved","codex-a3|codex-source-audit-1|codex-source-audit-2|human-reviewer-1","2026-07-29T10:52:34Z"
"2026-0079__1f16f3df632283df.annotation.json","2026-0079","1f16f3df632283df","71cdc6db852a478f0ceb6ed106903b4553cb4db8248d91c0506a04f8ad3d775b","approved","codex-candidate-prep|codex-source-audit|human-reviewer-1","2026-07-29T10:52:34Z"
"2026-0100__34edf2d1b2e65515.annotation.json","2026-0100","34edf2d1b2e65515","a80f583c77204174b7fd880cff245218d87c36e04c22094b415b33f8ebb5dd3f","approved","gpt-5.6-source-auditor|codex-batch4-source-auditor|human-reviewer-2","2026-08-02T10:30:00Z"
