source_ad_number,source_file_instance_id,target_ad_candidate,target_base_ad_number,relationship,evidence,manually_verified
2007-0213,d78b23728139cabf,2006-0069R1,2006-0069,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0069R1 | The present AD supersedes AD 2006-0069R1 and mandates a repetitive inspection program of the MLG rib 5 fitting forward lugs and requires a modification that is terminating action for the repetitive inspection requirements of this directive | This AD supersedes EASA AD 2006-0069R1 Wings – Outer Wing Main Landing Gear Support Rib 5 Fitting – ATA 57 Inspection / Modification Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS A318, A319, A320 and A321 aircraft, all certified models, all serial numbers (MSN) except aircraft that have received AIRBUS modification 32025 in production or AIRBUS Service Bulletin (SB) A320-57-1118 in service",False
2007-0215,c0a798651d6b6765,2006-0259-E,2006-0259,supersedes_candidate,"Supersedure: This AD supersedes EASA EAD 2006-0259-E which superseded EASA EAD 2006- 0212-E | This AD supersedes EASA EAD 2006-0259-E which superseded EASA EAD 2006- 0212-E Engine – Icing Conditions during Descent – Operational ATA 72 Procedure and Dispatch Restriction / Modification Manufacturer: AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS A330-201, -202, -203, -301, -302 and -303 aircraft, all serial numbers except those on which AIRBUS modification 56554 has been embodied in production or Airbus SB A330-73-3048 has been embodied in service",False
2007-0266,1c5c1a0172e31787,2006-0066,2006-0066,supersedes_candidate,Supersedure: This AD supersedes EASA AD 2006-0066 dated 24 March 2006. | This AD supersedes EASA AD 2006-0066 dated 24 March 2006,False
2007-0278,0b6a17dbe6f95907,2006-0322,2006-0322,supersedes_candidate,This new AD supersedes EASA AD 2006-0322 taking over its requirements and : - mandates SB A330-28-3082 Revision 04 which introduces an additional work for some bonding points which were omitted from the center tank at original issue (action n°2); - mandates SB A340-28-4097 Revision 03 which introduces an additional work by addition of electrical bondings omitted from previous revisions (action n°2); - introduces an extension of the required compliance time to perform action n°4 for those aircraft already compliant wit,False
2007-0281,463f0c6c76caa662,2006-0047,2006-0047,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0047 | This AD supersedes EASA AD 2006-0047 Equipment / Furnishings – Cockpit Instrument Panel - Inspection / ATA 25 Replacement / Modification Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS aircraft A330, all certified models, all serial numbers, except those on which AIRBUS modification 53446 has been embodied in production or AIRBUS Service Bulletin (SB) A330-25-3249 Revision 01 has been embodied in service | this new AD supersedes the AD 2006-0047 and mandates the SB A330-25-3249 at revision 01 which introduces correct torques values for the fasteners of the new bracket",False
2007-0282,e684863e2b99bfc0,2006-0045,2006-0045,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0045 | This AD supersedes EASA AD 2006-0045 Equipment / Furnishings – Cockpit Instrument Panel - Inspection / ATA 25 Replacement / Modification Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS aircraft A340-200 and A340-300 series, all certified models, all serial numbers, except those on which AIRBUS modification 53446 has been embodied in production or AIRBUS Service Bulletin (SB) A340-25-4245 Revision 01 has been embodied in service | this new AD supersedes the AD 2006-0045 and mandates the SB A340-25-4245 at revision 01 which introduces correct torques values for the fasteners of the new bracket",False
2007-0283,a65eb8de30c55000,2007-0233,2007-0233,supersedes_candidate,Supersedure: This Airworthiness Directive (AD) supersedes EASA AD 2007-0233 dated 27 August 2007. | This Airworthiness Directive (AD) supersedes EASA AD 2007-0233 dated 27 August 2007,False
2007-0297R1,a1a7d53204a19892,2007-0157,2007-0157,supersedes_candidate,"EASA AD 2007-0297 superseded EASA AD 2007-0157, retaining for A310 aircraft the requirements of EASA AD 2007-0157 and requiring the application of Airbus Service Bulletin (SB) A300-53-6005 Revision 4 on Airbus A300-600 aircraft, reducing the inspection interval from 12 000 FC to 9 000 FC",False
2008-0002,1feafeb85a05b09a,2006-0107,2006-0107,supersedes_candidate,the present AD supersedes EASA AD 2006-0107 and mandates the installation of a bolted shroud box bottom panel instead of blind riveted metallic design,False
2008-0017R1,3c5d39bc7ec79a90,2007-0188R1,2007-0188,supersedes_candidate,"AD 2008-0017 superseded the AD 2007-0188R1 and required the following additional actions: - a visual inspection of the APU Generator seal plate fitting, - an additional inspection for A330 aircraft under MMEL item 36-11-01 or 24-22-01 before the first flight following the MMEL item rectification, - an additional inspection at each time a (new or serviceable) APU Generator or APU is installed on aircraft",False
2008-0023,ae9d47a3330c62cd,2006-0307,2006-0307,supersedes_candidate,"This AD supersedes EASA AD 2006-0307, which mandated AIRBUS A330 ALI issue 14 referenced AI/SE-M4/95A",False
2008-0026,52417979974c4833,2007-0222R1,2007-0222,supersedes_candidate,Supersedure: This AD supersedes EASA EAD 2007-0222R1-E dated 24 September 2007. | The present AD supersedes the EAD 2007-0222R1-E and mandates repetitive inspections every 6 years for all the fleet | This AD supersedes EASA EAD 2007-0222R1-E dated 24 September 2007,False
2008-0032,df82056763d4556f,2006-0108,2006-0108,supersedes_candidate,This AD supersedes AD 2006-0108,False
2008-0093,63c205608463b7e9,2007-0314R1,2007-0314,supersedes_candidate,Supersedure: This AD supersedes EASA AD 2007-0314R1 dated 31 January 2008. | The present AD which supersedes the AD 2007-0314R1 : - takes over the AD 2007-0314R1 requirements and - reduces the inspection threshold from 6 to 4 | This AD supersedes EASA AD 2007-0314R1 dated 31 January 2008,False
2008-0138,8d998bd85a76d99d,2006-0224,2006-0224,supersedes_candidate,"EASA AD 2006-0224, mandating compliance with the requirements of the A330 CMR Document at issue 19, is therefore superseded by this AD",False
2008-0150,5037779904395fb4,2006-0223,2006-0223,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0223 dated 21 July 2006 and EASA AD 2007-0178 dated 22 June 2007 | This AD supersedes EASA AD 2006-0223 dated 21 July 2006 and EASA AD 2007-0178 dated 22 June 2007 Flight Controls – Trimmable Horizontal Stabilizer Actuator (THSA) – ATA 27 Inspection Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) AIRBUS A318-111, A318-112, A318-121, A318-122, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, Applicability: A320-211, A320-212, A320-214, A320-215, A320-216, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-212, A3 | This new EASA AD retains the requirements of AD 2006-0223 and 2007-0178, which are superseded",False
2008-0150,5037779904395fb4,2007-0178,2007-0178,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0223 dated 21 July 2006 and EASA AD 2007-0178 dated 22 June 2007 | This AD supersedes EASA AD 2006-0223 dated 21 July 2006 and EASA AD 2007-0178 dated 22 June 2007 Flight Controls – Trimmable Horizontal Stabilizer Actuator (THSA) – ATA 27 Inspection Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) AIRBUS A318-111, A318-112, A318-121, A318-122, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, Applicability: A320-211, A320-212, A320-214, A320-215, A320-216, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-212, A3 | This new EASA AD retains the requirements of AD 2006-0223 and 2007-0178, which are superseded",False
2008-0152,1dd9e3081a68133f,2007-0133,2007-0133,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2007-0133 dated 11 May 2007. | This AD supersedes EASA AD 2007-0133 dated 11 May 2007 | this new AD retains the requirements of EASA AD 2007-0133, which is superseded",False
2008-0161R1,ebd9403bb1351bd5,2008-0154,2008-0154,supersedes_candidate,"this EASA AD retains the requirements of EASA AD 2008-0154, which is superseded",False
2008-0173R1,2cbbe51832b8072d,2008-0017R1,2008-0017,supersedes_candidate,"Supersedure: This AD revises EASA AD 2008-0173 dated 15 September 2008, which superseded EASA AD 2008-0017R1 dated 17 June 2008.",False
2008-0188,3d90bcaccd3a63c6,2007-0066,2007-0066,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2007-0066 dated 27 March 2007 | This AD supersedes EASA AD 2007-0066 dated 27 March 2007 Electrical Power – Fuel Pump Wiring – Modification ATA 24 [Prevention against Fuel Tank Explosion Risks] Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) AIRBUS A300B2-1C, A300B2-203, A300B2K-3C, A300B4-103, A300B4-120, Applicability: A300B4-203, A300B4-2C, A300C4-203 and A300F4-203 aircraft, all serial numbers | this new AD retains the requirements of EASA AD 2007-0066, which is superseded",False
2008-0212,88d33a9f5ac181ab,2007-0238R1,2007-0238,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2007-0238R1 dated 26 March 2008 | This AD supersedes EASA AD 2007-0238R1 dated 26 March 2008 Fuselage – Upper Frame Bases-to-Arches Junctions from FR43 to ATA 53 FR46 – Modification Manufacturer(s): Airbus (formerly Airbus Industrie) Airbus A310-203, A310-203C, A310-204, A310-222, A310-304, A310-308, A310-322, A310-324 and A310-325 aircraft, all serial numbers, except aircraft Applicability: on which Airbus Service Bulletin (SB) A310-53-2124 original issue (Airbus modification 13023) has been embodied",False
2009-0061R1,c0c297f36d9c3103,2008-0117,2008-0117,supersedes_candidate,"this AD, which supersedes AD 2008-0117, requires: • installation of this redesigned LAL, • extension of the applicability to the aeroplanes in pre-modification 54125 / SB A340-32-5057 configuration to restore the full fatigue life and • removal of the frangible harness restraints/mounts required by AD 2008-0117",False
2009-0063,f2180c4f1865d4bb,2008-0074,2008-0074,supersedes_candidate,"AD 2008-0074, which required to check the installation of one shim set only per pivoting door actuator, is superseded by this AD | Supersedure: This AD supersedes EASA AD 2008-0074 dated 22 April 2008. | This AD supersedes EASA AD 2008-0074 dated 22 April 2008",False
2009-0075,2ec366d4a688964f,2008-0101,2008-0101,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2008-0101 dated 26 May 2008. | This AD supersedes EASA AD 2008-0101 dated 26 May 2008 | this AD retains the requirement of EASA AD 2008-0101, which is superseded",False
2009-0098,9e38ec9774967b3e,2007-0240,2007-0240,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2007-0240 dated 4 September 2007 | This AD supersedes EASA AD 2007-0240 dated 4 September 2007 ATA 05 Time Limits / Maintenance Checks – ALS Part 3 Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS A340-211, A340-212, A340-213, A340-311, A340-312, A340- 313, A340-541, A340-542, A340-642 and A340-643 aeroplanes, all serial numbers | This new AD retains the requirements of EASA AD 2007-0240, which is superseded",False
2009-0102,f6e5ad373023b5ff,2006-0125,2006-0125,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0125ADdated 31 May 2006 and EASA AD 2008-0023 dated 06 February 2008 Time Limits andEASAMaintenance Checks – Damage Tolerant | This AD supersedes EASA AD 2006-0125ADdated 31 May 2006 and EASA AD 2008-0023 dated 06 February 2008 Time Limits andEASAMaintenance Checks – Damage Tolerant ATA 05 Airworthiness Limitation Items – ALS Part 2 – Amendment BY Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS A330-201, A330-202, A330-203, A330-223, A330-243, A330- 301, A330-302, A330-303, A330-321, A330-322, A330-323, A330-341, A330-342 and A330-343 models, all serial numbers | This new AD retains the requirements of EASA AD 2008-0023 and AD 2006-0125, which are superseded",False
2009-0102,f6e5ad373023b5ff,2008-0023,2008-0023,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0125ADdated 31 May 2006 and EASA AD 2008-0023 dated 06 February 2008 Time Limits andEASAMaintenance Checks – Damage Tolerant | This AD supersedes EASA AD 2006-0125ADdated 31 May 2006 and EASA AD 2008-0023 dated 06 February 2008 Time Limits andEASAMaintenance Checks – Damage Tolerant ATA 05 Airworthiness Limitation Items – ALS Part 2 – Amendment BY Manufacturer(s): AIRBUS (formerly AIRBUS INDUSTRIE) Applicability: AIRBUS A330-201, A330-202, A330-203, A330-223, A330-243, A330- 301, A330-302, A330-303, A330-321, A330-322, A330-323, A330-341, A330-342 and A330-343 models, all serial numbers | This new AD retains the requirements of EASA AD 2008-0023 and AD 2006-0125, which are superseded",False
2009-0143,f7c3090503be7cf0,2007-0283,2007-0283,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2007-0283 dated 08 November 2007. | This AD supersedes EASA AD 2007-0283 dated 08 November 2007 | this new AD retains the requirements of AD 2007-0283, which is superseded",False
2009-0152,2988eb9bbd4c6abe,2008-0216,2008-0216,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2008-0216 dated 09 December 2008 | This AD supersedes EASA AD 2008-0216 dated 09 December 2008 ATA 57 Wings – Movable Flap Track Fairing – Inspection / Replacement Manufacturer(s): Airbus Applicability: Airbus A380 aeroplanes, -841, -842 and -861 models, all serial numbers, except those on which Airbus modification 68729 has been embodied in production | This AD, which supersedes EASA AD 2008-0216 :  cancels the MFTF#6 General Visual Inspection requirement,  refers to Airbus Service Bulletin A380-57-8014 Revision 1,  requires the reporting to AIRBUS in case of MFTF#6 replacement, EASA Form 110 Page 1/3 EASA AD No",False
2009-0153,cd3190de2eb3fb39,2008-0131,2008-0131,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2008-0131 dated 16 July 2008 | This AD retains the requirements of EASA AD 2008-0131, which is superseded | This AD supersedes EASA AD 2008-0131 dated 16 July 2008 Flight Controls – Flight Control Primary Computer (FCPC) – ATA 27 PRIM 3 Dispatch Restriction Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A330 aeroplanes, models -201, -202, -203, -223, -243, -301, -302, - 303, -321, -322, -323, -341, -342 and -343, all manufacturer serial numbers on which Airbus modification 49144 (install rudder fly by wire) has been embodied in production",False
2009-0155,2fce48b6620f7575,2006-0071,2006-0071,supersedes_candidate,"Supersedure: This AD supersedes EASA AD No. 2006-0071 dated 30 March 2006, EASA AD No. 2006-0260 dated 25 August 2006 and EASA AD No. 2006-0374 dated 15 December 2006. | this EASA AD supersedes existing EASA ADs 2006-0071, 2006-0260 and 2006-0374 and requires an update to the approved aircraft maintenance programme and compliance with the maintenance requirements and associated airworthiness limitations defined in the Airbus ALI Documents listed above",False
2009-0155,2fce48b6620f7575,2006-0260,2006-0260,supersedes_candidate,"Supersedure: This AD supersedes EASA AD No. 2006-0071 dated 30 March 2006, EASA AD No. 2006-0260 dated 25 August 2006 and EASA AD No. 2006-0374 dated 15 December 2006. | this EASA AD supersedes existing EASA ADs 2006-0071, 2006-0260 and 2006-0374 and requires an update to the approved aircraft maintenance programme and compliance with the maintenance requirements and associated airworthiness limitations defined in the Airbus ALI Documents listed above",False
2009-0155,2fce48b6620f7575,2006-0374,2006-0374,supersedes_candidate,"Supersedure: This AD supersedes EASA AD No. 2006-0071 dated 30 March 2006, EASA AD No. 2006-0260 dated 25 August 2006 and EASA AD No. 2006-0374 dated 15 December 2006. | this EASA AD supersedes existing EASA ADs 2006-0071, 2006-0260 and 2006-0374 and requires an update to the approved aircraft maintenance programme and compliance with the maintenance requirements and associated airworthiness limitations defined in the Airbus ALI Documents listed above",False
2009-0157,1215ea407abe4ceb,2008-0188,2008-0188,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2008-0188 dated 10 October 2008 | This AD supersedes EASA AD 2008-0188 dated 10 October 2008 Electrical Power – Fuel Pump Wiring – Modification [Prevention ATA 28 against Fuel Tank Explosion Risks] Manufacturer(s): Airbus (formerly Airbus Industrie) AIRBUS A300B2-1C, A300B2-203, A300B2K-3C, A300B4-103, A300B4-120, Applicability: A300B4-203, A300B4-2C, A300C4-203 and A300F4-203 aeroplanes, all serial numbers | this new AD retains the requirements of EASA AD 2008-0188, which is superseded",False
2009-0204,7816e79313162c25,2008-0019,2008-0019,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2008-0019 dated 28 January 2008. | This AD supersedes EASA AD 2008-0019 dated 28 January 2008 | This AD, which supersedes EASA AD 2008-0019, mandates a one-time visual inspection of the FWD and AFT engine mount link pin retention bolts, in order to ensure that any over-torqued bolt is replaced",False
2009-0265,784b07e0aad788c3,2009-0066,2009-0066,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0066 dated 19 march 2009 | This AD supersedes EASA AD 2009-0066 dated 19 march 2009 ATA 36 Pneumatic – Overheat Detection System - Inspection Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A380 aeroplanes, -841, -842 and -861 models, MSN (Manufacturer Serial Number) 15, 17, 19, 20, 21 and 22 | This AD, which supersedes EASA AD 2009-0066, requires to perform : • an additional inspection on MSN 15, 20 and 22 to render it complete, and EASA Form 110 Page 1/2 EASA AD No",False
2010-0002,950d5384fb42c8b7,2009-0166,2009-0166,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0166 dated 31 July 2009. | This AD supersedes EASA AD 2009-0166 dated 31 July 2009 | This new AD retains the requirement of EASA AD 2009-0166, which is superseded",False
2010-0021,d22d7c26ee96aaf5,2009-0156,2009-0156,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0156 dated 17 July 2009 | This AD retains the requirement of EASA AD 2009-0156, which is superseded | This AD supersedes EASA AD 2009-0156 dated 17 July 2009 ATA 55 Stabilizers – Rudder Side Shell Skin – Inspection Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A330 aeroplanes, models -301, -302, -303, -321, -322, -323, -341, -342 and -343, all manufacturer serial numbers, and Airbus A340 aeroplanes, models -211, -212, -213, -311, -312 and -313, all manufacturer serial numbers, if equipped with Carbon Fiber Reinforced Plastic (CFRP) rudders having part numbers (P/N) and serial numbers (S",False
2010-0024,3cf26301240b0a34,2006-0315R1,2006-0315,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0315R1 dated 26 October 2006. | This AD supersedes EASA AD 2006-0315R1 dated 26 October 2006 | This AD, which supersedes EASA AD 2006-0315R1: EASA Form 110 Page 1/3 EASA AD No",False
2010-0036,7a257f81d491830f,2007-0158,2007-0158,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2007-0158 dated 04 June 2007 | This AD supersedes EASA AD 2007-0158 dated 04 June 2007 Time Limits and Maintenance Checks – Damage Tolerant ATA 05 Airworthiness Limitation Items – ALS Part 2 – Amendment Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A340 aeroplanes, models -211, -212, -213, -311, -312, -313, -541, - 542, -642 and -643, all manufacturer serial numbers | This new AD retains the requirements of EASA AD 2007-0158, which is superseded",False
2010-0047,1ab1f2f4303bf7e1,2009-0098,2009-0098,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0098 dated 22 April 2009 | This AD supersedes EASA AD 2009-0098 dated 22 April 2009 Time Limits and Maintenance Checks – Certification ATA 05 Maintenance Requirements – ALS Part 3 – Amendment Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A340 aeroplanes, models -211, -212, -213, -311, -312, -313, -541, -542, -642 and -643, all manufacturer serial numbers | This new AD retains the requirements of EASA AD 2009-0098, which is superseded",False
2010-0048,7248dc4ea0ab7a6c,2008-0138,2008-0138,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2008-0138 dated 23 July 2008 | This AD supersedes EASA AD 2008-0138 dated 23 July 2008 Time Limits and Maintenance Checks – Certification ATA 05 Maintenance Requirements – ALS Part 3 – Amendment Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A330 aeroplanes, models -201, -202, -203, -223, -243, -301, -302, -303, -321, -322, -323, -341, -342 and -343, all manufacturer serial numbers | This new AD retains the requirements of EASA AD 2008-0138, which is superseded",False
2010-0070,2867a87e436f9741,2009-0084,2009-0084,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0084 dated 09 April 2009. | This AD supersedes EASA AD 2009-0084 dated 09 April 2009 | this AD retains requirements of EASA AD 2009-0084, which is superseded",False
2010-0074,2e6a58abeb2d8fa9,2009-0143,2009-0143,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0143 dated 28 July 2009. | This AD supersedes EASA AD 2009-0143 dated 28 July 2009 | this new AD retains the requirements of EASA AD 2009-0143, which is superseded",False
2010-0085,01c0442dfb875e1b,2010-0010,2010-0010,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2010-0010 dated 21 January 2010. | This AD supersedes EASA AD 2010-0010 dated 21 January 2010 | this new AD retains the requirements of EASA AD 2010-0010, which is superseded",False
2010-0102,1fe22ed60c3b950d,2006-0075R2,2006-0075,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2006-0075R2 dated 04 January 2007. | This AD supersedes EASA AD 2006-0075R2 dated 04 January 2007 | this new AD retains the requirements of AD 2006-0075R2, which is superseded",False
2010-0120,7550ad3a7b345f9f,2009-0259,2009-0259,supersedes_candidate,Supersedure: This AD supersedes EASA AD 2009-0259 dated 10 December 2009. | This AD supersedes EASA AD 2009-0259 dated 10 December 2009,False
2010-0131,3a462db79e990af3,2007-0300,2007-0300,supersedes_candidate,"This new AD supersedes EASA AD 2007-0300, EASA AD 2008-0152 and EASA AD 2009-0191 and requires the implementation of the new or more restrictive maintenance requirements and/or airworthiness limitations as specified in Airbus A330 and A340 ALS Part 1 revision 04",False
2010-0131,3a462db79e990af3,2008-0152,2008-0152,supersedes_candidate,"This new AD supersedes EASA AD 2007-0300, EASA AD 2008-0152 and EASA AD 2009-0191 and requires the implementation of the new or more restrictive maintenance requirements and/or airworthiness limitations as specified in Airbus A330 and A340 ALS Part 1 revision 04",False
2010-0131,3a462db79e990af3,2009-0191,2009-0191,supersedes_candidate,"This new AD supersedes EASA AD 2007-0300, EASA AD 2008-0152 and EASA AD 2009-0191 and requires the implementation of the new or more restrictive maintenance requirements and/or airworthiness limitations as specified in Airbus A330 and A340 ALS Part 1 revision 04",False
2010-0145,3046524b1455b79a,2009-0223-E,2009-0223,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0223-E, dated 13 October 2009 | This AD supersedes EASA AD 2009-0223-E, dated 13 October 2009 Hydraulic Power – High Pressure Manifold Check Valve – ATA 29 Inspection Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A330 aeroplanes, models -201, -202, -203, -223, -223F, -243, - 243F, -301, -302, -303, -321, -322, -323, -341, -342 and -343, all manufacturer serial numbers, and Airbus A340 aeroplanes, models -211, -212, -213, -311, -312 and -313, all manufacturer serial numbers | This AD, which supersedes EASA EAD 2009-0223-E retaining its requirements, is issued to extend the applicability to the newly certified models A330-223F and A330-243F",False
2010-0148,4df49e12fffacca6,2005-2239,2005-2239,supersedes_candidate,"Supersedure: This AD supersedes DGAC France AD F-2005-046 dated 16 March 2005, approved under EASA reference 2005-2239. | This AD supersedes DGAC France AD F-2005-046 dated 16 March 2005, approved under EASA reference 2005-2239",False
2010-0164,60596be378420b04,2009-0141,2009-0141,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0141 dated 02 July 2009. | This AD retains the requirements of EASA AD 2009-0141 (addressing the populations of rudders affected by AOT A320-55-1038), which is superseded | This AD supersedes EASA AD 2009-0141 dated 02 July 2009",False
2010-0174,57e83455fc7c8a71,2009-0102,2009-0102,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2009-0102 dated 30 April 2009 | This AD supersedes EASA AD 2009-0102 and requires the implementation of the new or more restrictive maintenance requirements and/or airworthiness limitations as specified in Airbus A330 ALI Document issue 17 | This AD supersedes EASA AD 2009-0102 dated 30 April 2009 Time Limits and Maintenance Checks – Damage Tolerant ATA 05 Airworthiness Limitation Items – ALS Part 2 – Amendment Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A330 aeroplanes, models -201, -202, -203, -223, -223F, -243, -243F, -301, -302, -303, -321, -322, -323, -341, -342 and -343, all manufacturer serial numbers",False
2010-0175,e00fd1f3e8268ab3,2008-0055,2008-0055,supersedes_candidate,"Supersedure: This AD supersedes EASA AD 2008-0055, dated 05 March 2008 | This AD supersedes AD 2008-0055 and introduces the following actions : - expanding of the applicability to A310 aeroplanes; and - replacement of the cockpit MTI with a MTI with silicone sleeves and to re- instate the low level warning indication to the cockpit MTI; and - replacement of the affected sensors and their harness connectors by fused level sensor units for A300-600 and A300-600ST aeroplanes | This AD supersedes EASA AD 2008-0055, dated 05 March 2008 Fuel – Fuel Level Sensor Amplifier (FLSA) and Multi Tank Indicator ATA 28 (MTI) Wiring – Replacement Manufacturer(s): Airbus (formerly Airbus Industrie) Applicability: Airbus A310 aeroplanes, all certified models, all manufacturer serial numbers (MSN); Airbus A300-600 aeroplanes, all certified models, all MSN; and Airbus A300F4-608ST aeroplanes, all MSN Reason: One operator experienced failures of four Fuel Level Sensor-Amplifier (FLSA) and Multi Tank Indic",False
